s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9679999947547913,0.8610000014305115,0.9169999957084656,0.6809999942779541,0.7440000176429749,0.6660000085830688,0.675000011920929,0.6890000104904175,0.6650000214576721,,,0.6959999799728394
1,0.9800000190734863,0.843999981880188,0.7889999747276306,0.753000020980835,0.75,0.7630000114440918,0.75,0.7459999918937683,0.7300000190734863,,,0.7690000534057617
2,0.9800000190734863,0.7649999856948853,0.8539999723434448,0.652999997138977,0.6510000228881836,0.6520000100135803,0.6690000295639038,0.6669999957084656,0.6949999928474426,,,0.6669999957084656
3,0.9890000224113464,0.8199999928474426,0.8550000190734863,0.8109999895095825,0.8009999990463257,0.7609999775886536,0.8159999847412109,0.7390000224113464,0.8019999861717224,,,0.7580000162124634
4,0.9860000014305115,0.777999997138977,0.8529999852180481,0.8529999852180481,0.7710000276565552,0.5440000295639038,0.753000020980835,0.7260000109672546,0.8529999852180481,,,0.7120000123977661
5,0.9800199866294861,0.7922077775001526,0.928071916103363,0.8501498699188232,0.7322677373886108,0.8221778273582458,0.8121877908706665,0.7832167744636536,0.8441558480262756,,,0.7972028255462646
6,0.9879999756813049,0.8539999723434448,0.9190000295639038,0.8240000009536743,0.7580000162124634,0.8009999990463257,0.8659999966621399,0.8410000205039978,0.781000018119812,,,0.7229999899864197
7,0.9959999918937683,0.8050000071525574,0.8970000147819519,0.7580000162124634,0.7089999914169312,0.7200000286102295,0.7670000195503235,0.7710000276565552,0.6949999928474426,,,0.765999972820282
8,0.9829999804496765,0.7789999842643738,0.9279999732971191,0.7620000243186951,0.7630000114440918,0.7699999809265137,0.7680000066757202,0.7239999771118164,0.7609999775886536,,,0.7279999852180481
9,0.9679999947547913,0.8330000042915344,0.7429999709129333,0.7910000085830688,0.6710000038146973,0.7279999852180481,0.7269999980926514,0.8029999732971191,0.8059999942779541,,,0.8050000071525574
10,0.9459999799728394,0.7839999794960022,0.9259999990463257,0.6100000143051147,0.6029999852180481,0.5249999761581421,0.6880000233650208,0.6349999904632568,0.6159999966621399,,,0.6349999904632568
11,0.9980000257492065,0.8190000057220459,0.9380000233650208,0.8209999799728394,0.7699999809265137,0.7490000128746033,0.8299999833106995,0.7889999747276306,0.7739999890327454,,,0.7710000276565552
12,0.9829999804496765,0.8019999861717224,0.9240000247955322,0.7480000257492065,0.6880000233650208,0.7360000014305115,0.7799999713897705,0.8109999895095825,0.7160000205039978,,,0.753000020980835
13,0.9599999785423279,0.8389999866485596,0.8820000290870667,0.6430000066757202,0.7099999785423279,0.7419999837875366,0.7919999957084656,0.7620000243186951,0.7789999842643738,,,0.781000018119812
14,0.9959999918937683,0.8220000267028809,0.8809999823570251,0.7940000295639038,0.6460000276565552,0.7549999952316284,0.7329999804496765,0.6110000014305115,0.6629999876022339,,,0.7080000042915344
15,0.9909999966621399,0.628000020980835,0.8920000195503235,0.675000011920929,0.6899999976158142,0.6600000262260437,0.7839999794960022,0.6639999747276306,0.6679999828338623,,,0.6520000100135803
16,0.9760000109672546,0.7990000247955322,0.9380000233650208,0.8360000252723694,0.765999972820282,0.8080000281333923,0.7559999823570251,0.8130000233650208,0.8100000023841858,,,0.7289999723434448
17,0.996999979019165,0.9340000152587891,0.9490000009536743,0.7459999918937683,0.8240000009536743,0.9229999780654907,0.8330000042915344,0.8420000076293945,0.828000009059906,,,0.8029999732971191
18,0.9840160012245178,0.5374625325202942,0.5374625325202942,0.6743256449699402,0.6593406796455383,0.7792207598686218,0.773226797580719,0.7372627258300781,0.7792207598686218,,,0.7222777009010315
19,0.9869999885559082,0.8650000095367432,0.9160000085830688,0.7799999713897705,0.7599999904632568,0.7350000143051147,0.800000011920929,0.7419999837875366,0.7229999899864197,,,0.7419999837875366
20,0.9810000061988831,0.7680000066757202,0.9049999713897705,0.7429999709129333,0.6600000262260437,0.7089999914169312,0.7429999709129333,0.75,0.7350000143051147,,,0.7879999876022339
21,0.9940000176429749,0.7919999957084656,0.7919999957084656,0.800000011920929,0.7390000224113464,0.7179999947547913,0.7250000238418579,0.7559999823570251,0.7699999809265137,,,0.7639999985694885
22,0.9850000143051147,0.9490000009536743,0.9240000247955322,0.7519999742507935,0.7400000095367432,0.7450000047683716,0.7459999918937683,0.7059999704360962,0.7369999885559082,,,0.7070000171661377
23,0.9800000190734863,0.8169999718666077,0.871999979019165,0.6769999861717224,0.8050000071525574,0.6959999799728394,0.75,0.6620000004768372,0.7749999761581421,,,0.7279999852180481
24,0.9750000238418579,0.8240000009536743,0.7080000042915344,0.7450000047683716,0.6869999766349792,0.7459999918937683,0.7120000123977661,0.7559999823570251,0.7900000214576721,,,0.7549999952316284
25,0.9909999966621399,0.8619999885559082,0.8899999856948853,0.8090000152587891,0.7149999737739563,0.7910000085830688,0.7870000004768372,0.7670000195503235,0.7390000224113464,,,0.7730000019073486
26,0.9940000176429749,0.8330000042915344,0.8740000128746033,0.6520000100135803,0.7110000252723694,0.722000002861023,0.7300000190734863,0.7020000219345093,0.7419999837875366,,,0.7260000109672546
27,0.9800199866294861,0.7702297568321228,0.8521478772163391,0.7892107963562012,0.6573426723480225,0.7202796936035156,0.7582417726516724,0.7472527623176575,0.7342657446861267,,,0.7492507696151733
28,0.9710289835929871,0.8441558480262756,0.6973026990890503,0.6913086771965027,0.5524475574493408,0.6853147149085999,0.6653346419334412,0.6743256449699402,0.7122877240180969,,,0.6773226857185364
29,0.9890000224113464,0.8579999804496765,0.8309999704360962,0.7139999866485596,0.7059999704360962,0.6940000057220459,0.7080000042915344,0.6980000138282776,0.7639999985694885,,,0.6779999732971191
30,0.9610000252723694,0.7509999871253967,0.9210000038146973,0.8349999785423279,0.7829999923706055,0.7940000295639038,0.7950000166893005,0.7789999842643738,0.7860000133514404,,,0.7639999985694885
31,0.9580419659614563,0.8121877908706665,0.910089910030365,0.6273726224899292,0.64035964012146,0.7172827124595642,0.7842158079147339,0.7562437653541565,0.7042956948280334,,,0.7022976875305176
32,0.984000027179718,0.8259999752044678,0.8889999985694885,0.765999972820282,0.7279999852180481,0.7879999876022339,0.7860000133514404,0.7760000228881836,0.7770000100135803,,,0.7680000066757202
33,0.9929999709129333,0.8529999852180481,0.9150000214576721,0.7689999938011169,0.656000018119812,0.699999988079071,0.7350000143051147,0.703000009059906,0.7070000171661377,,,0.7300000190734863
34,0.982017993927002,0.721278727054596,0.8611388802528381,0.7072927355766296,0.683316707611084,0.7282717227935791,0.739260733127594,0.7092906832695007,0.7322677373886108,,,0.7272727489471436
35,0.9840160012245178,0.8791208863258362,0.5454545617103577,0.8091908097267151,0.7052947282791138,0.7622377872467041,0.7602397799491882,0.7642357349395752,0.7812187671661377,,,0.6943057179450989
36,0.9890000224113464,0.6930000185966492,0.9229999780654907,0.7070000171661377,0.734000027179718,0.6909999847412109,0.6790000200271606,0.6790000200271606,0.7200000286102295,,,0.7200000286102295
37,0.9850149750709534,0.6733266711235046,0.9540459513664246,0.7652347683906555,0.7932068109512329,0.6683316826820374,0.7022976875305176,0.6683316826820374,0.7162837386131287,,,0.658341646194458
38,0.9869999885559082,0.8119999766349792,0.890999972820282,0.7070000171661377,0.6740000247955322,0.7390000224113464,0.7350000143051147,0.6859999895095825,0.6769999861717224,,,0.7419999837875366
39,0.9340000152587891,0.824999988079071,0.8569999933242798,0.7929999828338623,0.6000000238418579,0.6290000081062317,0.6880000233650208,0.6650000214576721,0.703000009059906,,,0.6570000052452087
40,0.9800000190734863,0.7829999923706055,0.9160000085830688,0.7910000085830688,0.7369999885559082,0.7639999985694885,0.7490000128746033,0.777999997138977,0.7480000257492065,,,0.7509999871253967
41,0.9850000143051147,0.8090000152587891,0.8989999890327454,0.6629999876022339,0.6710000038146973,0.7049999833106995,0.7049999833106995,0.718999981880188,0.6890000104904175,,,0.7120000123977661
42,0.9769999980926514,0.8769999742507935,0.7379999756813049,0.7289999723434448,0.675000011920929,0.6660000085830688,0.7080000042915344,0.6790000200271606,0.699999988079071,,,0.7020000219345093
43,0.9440000057220459,0.800000011920929,0.9129999876022339,0.6949999928474426,0.6620000004768372,0.7080000042915344,0.6970000267028809,0.746999979019165,0.7429999709129333,,,0.7540000081062317
44,0.9480000138282776,0.8159999847412109,0.8920000195503235,0.6230000257492065,0.6840000152587891,0.6859999895095825,0.6729999780654907,0.6959999799728394,0.6859999895095825,,,0.6740000247955322
45,0.9729999899864197,0.8450000286102295,0.8939999938011169,0.878000020980835,0.7789999842643738,0.6370000243186951,0.8330000042915344,0.753000020980835,0.6340000033378601,,,0.7310000061988831
46,0.9930070042610168,0.8941059112548828,0.9040958881378174,0.748251736164093,0.6893106698989868,0.7342657446861267,0.7382617592811584,0.7132866978645325,0.6393606662750244,,,0.7242757081985474
47,0.9419999718666077,0.8320000171661377,0.9129999876022339,0.722000002861023,0.6209999918937683,0.7129999995231628,0.5989999771118164,0.6809999942779541,0.6690000295639038,,,0.6869999766349792
48,0.9830169677734375,0.9060938954353333,0.9060938954353333,0.9330669045448303,0.7832167744636536,0.6363636255264282,0.8861138820648193,0.82017982006073,0.7932068109512329,,,0.8511488437652588
49,0.9890000224113464,0.8949999809265137,0.9419999718666077,0.6299999952316284,0.6970000267028809,0.765999972820282,0.6850000023841858,0.6510000228881836,0.7590000033378601,,,0.6449999809265137
50,0.9940059781074524,0.811188817024231,0.8951048851013184,0.7742257714271545,0.6083915829658508,0.7122877240180969,0.7642357349395752,0.7582417726516724,0.8191808462142944,,,0.8051947951316833
51,0.9850000143051147,0.8220000267028809,0.9150000214576721,0.843999981880188,0.7789999842643738,0.734000027179718,0.6850000023841858,0.7310000061988831,0.7250000238418579,,,0.6930000185966492
52,0.9880120158195496,0.847152829170227,0.8691308498382568,0.7872127890586853,0.6513486504554749,0.7432567477226257,0.7982017993927002,0.7222777009010315,0.7332667112350464,,,0.7032967209815979
53,0.9869999885559082,0.7850000262260437,0.6759999990463257,0.652999997138977,0.6620000004768372,0.6959999799728394,0.7889999747276306,0.597000002861023,0.6850000023841858,,,0.5950000286102295
54,0.9620000123977661,0.8579999804496765,0.7990000247955322,0.7379999756813049,0.7480000257492065,0.7620000243186951,0.777999997138977,0.7639999985694885,0.7200000286102295,,,0.7889999747276306
55,0.9950000047683716,0.7839999794960022,0.8619999885559082,0.7149999737739563,0.675000011920929,0.7459999918937683,0.6959999799728394,0.7300000190734863,0.7400000095367432,,,0.734000027179718
56,0.948051929473877,0.9330669045448303,0.9160839319229126,0.7562437653541565,0.6943057179450989,0.7042956948280334,0.7542457580566406,0.7182817459106445,0.7402597665786743,,,0.7432567477226257
57,0.9700000286102295,0.5690000057220459,0.9179999828338623,0.7239999771118164,0.7099999785423279,0.7350000143051147,0.7409999966621399,0.7409999966621399,0.6809999942779541,,,0.7329999804496765
58,0.9869999885559082,0.7390000224113464,0.5440000295639038,0.7480000257492065,0.6850000023841858,0.6480000019073486,0.7149999737739563,0.6930000185966492,0.7300000190734863,,,0.6859999895095825
59,0.9880120158195496,0.8091908097267151,0.7152847051620483,0.7452547550201416,0.7262737154960632,0.6983016729354858,0.7582417726516724,0.7132866978645325,0.8001998066902161,,,0.7222777009010315
60,0.9869999885559082,0.7419999837875366,0.9269999861717224,0.746999979019165,0.7009999752044678,0.7149999737739563,0.7940000295639038,0.7289999723434448,0.7440000176429749,,,0.6959999799728394
61,0.9570000171661377,0.8799999952316284,0.9259999990463257,0.6970000267028809,0.765999972820282,0.6589999794960022,0.7720000147819519,0.6880000233650208,0.6949999928474426,,,0.6949999928474426
62,0.9819999933242798,0.8259999752044678,0.9210000038146973,0.7239999771118164,0.7590000033378601,0.734000027179718,0.7540000081062317,0.7139999866485596,0.8209999799728394,,,0.7689999938011169
63,0.9980000257492065,0.859000027179718,0.9430000185966492,0.824999988079071,0.7179999947547913,0.7139999866485596,0.828000009059906,0.781000018119812,0.7260000109672546,,,0.7670000195503235
64,0.9880120158195496,0.8161838054656982,0.7182817459106445,0.7592407464981079,0.7162837386131287,0.6853147149085999,0.7372627258300781,0.7372627258300781,0.7382617592811584,,,0.7562437653541565
65,0.984000027179718,0.7950000166893005,0.8579999804496765,0.7200000286102295,0.6710000038146973,0.6980000138282776,0.7039999961853027,0.6959999799728394,0.7099999785423279,,,0.6769999861717224
66,0.991008996963501,0.7602397799491882,0.9110888838768005,0.6973026990890503,0.7432567477226257,0.7512487769126892,0.7942057847976685,0.721278727054596,0.7192807197570801,,,0.7312687039375305
67,0.9900000095367432,0.8690000176429749,0.9049999713897705,0.7179999947547913,0.6230000257492065,0.6119999885559082,0.6650000214576721,0.6299999952316284,0.7210000157356262,,,0.6480000019073486
68,0.9959999918937683,0.8320000171661377,0.9229999780654907,0.4970000088214874,0.7760000228881836,0.6420000195503235,0.7400000095367432,0.6579999923706055,0.6549999713897705,,,0.656000018119812
69,0.9580000042915344,0.7649999856948853,0.8849999904632568,0.6359999775886536,0.6019999980926514,0.625,0.6489999890327454,0.6349999904632568,0.6380000114440918,,,0.5960000157356262
70,0.9779999852180481,0.8960000276565552,0.6869999766349792,0.7319999933242798,0.7720000147819519,0.7170000076293945,0.8360000252723694,0.718999981880188,0.7940000295639038,,,0.7599999904632568
71,0.9530938267707825,0.8033931851387024,0.8193612694740295,0.6846307516098022,0.7245509028434753,0.6197604537010193,0.7514970302581787,0.6756486892700195,0.71856290102005,,,0.6876247525215149
72,0.9959999918937683,0.6759999990463257,0.9010000228881836,0.7570000290870667,0.7089999914169312,0.7570000290870667,0.734000027179718,0.7049999833106995,0.7300000190734863,,,0.7549999952316284
73,0.9860140085220337,0.8191808462142944,0.9410589337348938,0.6983016729354858,0.7232767343521118,0.7642357349395752,0.7442557215690613,0.7132866978645325,0.6883116960525513,,,0.6653346419334412
74,0.996999979019165,0.8119999766349792,0.8970000147819519,0.8180000185966492,0.7390000224113464,0.765999972820282,0.8289999961853027,0.7089999914169312,0.8709999918937683,,,0.7770000100135803
75,0.9570000171661377,0.8399999737739563,0.8849999904632568,0.7250000238418579,0.7260000109672546,0.7310000061988831,0.734000027179718,0.6909999847412109,0.7200000286102295,,,0.6809999942779541
76,0.9920079708099365,0.8281718492507935,0.8971028923988342,0.7462537288665771,0.7202796936035156,0.7202796936035156,0.748251736164093,0.7452547550201416,0.7152847051620483,,,0.7242757081985474
77,0.9630369544029236,0.6213786005973816,0.9060938954353333,0.7372627258300781,0.6443556547164917,0.6903097033500671,0.7602397799491882,0.7182817459106445,0.7202796936035156,,,0.7182817459106445
78,0.9950000047683716,0.8830000162124634,0.9319999814033508,0.7490000128746033,0.6209999918937683,0.6650000214576721,0.8769999742507935,0.6179999709129333,0.7599999904632568,,,0.777999997138977
79,0.984000027179718,0.8080000281333923,0.9269999861717224,0.7929999828338623,0.781000018119812,0.7799999713897705,0.7720000147819519,0.8069999814033508,0.8379999995231628,,,0.8019999861717224
80,0.9700000286102295,0.8309999704360962,0.8920000195503235,0.7110000252723694,0.699999988079071,0.6710000038146973,0.7110000252723694,0.7080000042915344,0.7680000066757202,,,0.7289999723434448
81,0.9860000014305115,0.8199999928474426,0.9150000214576721,0.7900000214576721,0.7239999771118164,0.7149999737739563,0.7900000214576721,0.8169999718666077,0.7649999856948853,,,0.7369999885559082
82,0.9940059781074524,0.8091908097267151,0.8741258978843689,0.7982017993927002,0.6293706297874451,0.7532467246055603,0.7692307829856873,0.7622377872467041,0.6883116960525513,,,0.7322677373886108
83,0.9760000109672546,0.7039999961853027,0.8799999952316284,0.675000011920929,0.6610000133514404,0.6600000262260437,0.6629999876022339,0.7009999752044678,0.6620000004768372,,,0.6779999732971191
84,0.9869999885559082,0.7870000004768372,0.906000018119812,0.6840000152587891,0.6669999957084656,0.7059999704360962,0.7680000066757202,0.7089999914169312,0.7260000109672546,,,0.703000009059906
85,0.9750000238418579,0.7129999995231628,0.671999990940094,0.8339999914169312,0.7039999961853027,0.7070000171661377,0.7699999809265137,0.7250000238418579,0.7509999871253967,,,0.7160000205039978
