s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9880000352859497,0.9320000410079956,,0.8660000562667847,0.8560000658035278,0.9080000519752502,0.9500000476837158,0.9070000648498535,0.8600000143051147,,,0.8790000677108765
1,0.987000048160553,0.9580000638961792,,0.9220000505447388,0.8990000486373901,0.9300000667572021,0.9180000424385071,0.9490000605583191,0.9230000376701355,,,0.940000057220459
2,0.9930000305175781,0.9190000295639038,,0.8440000414848328,0.7980000376701355,0.8830000162124634,0.9280000329017639,0.8820000290870667,0.815000057220459,,,0.9040000438690186
3,0.9640359282493591,0.894105851650238,,0.8711288571357727,0.8451548218727112,0.8931068778038025,0.9370629191398621,0.8141857981681824,0.8821178674697876,,,0.914085865020752
4,0.9800000190734863,0.9420000314712524,,0.9520000219345093,0.8020000457763672,0.7670000195503235,0.9140000343322754,0.9160000681877136,0.7990000247955322,,,0.8360000252723694
5,0.9450000524520874,0.8890000581741333,,0.8400000333786011,0.9020000696182251,0.8220000267028809,0.8370000123977661,0.8350000381469727,0.8230000138282776,,,0.8450000286102295
6,0.9560439586639404,0.8741258382797241,,0.8611388206481934,0.7992007732391357,0.910089910030365,0.9090908765792847,0.8951048851013184,0.8421578407287598,,,0.8841158747673035
7,0.9880000352859497,0.921000063419342,,0.9000000357627869,0.9140000343322754,0.9290000200271606,0.9750000238418579,0.9440000653266907,0.8880000710487366,,,0.8940000534057617
8,0.9850000739097595,0.8870000243186951,,0.8910000324249268,0.9750000238418579,0.8790000677108765,0.9480000734329224,0.8580000400543213,0.8640000224113464,,,0.6850000619888306
9,0.9610000252723694,0.9750000238418579,,0.9570000171661377,0.8830000162124634,0.9480000734329224,0.9580000638961792,0.9480000734329224,0.8700000643730164,,,0.9600000381469727
10,0.984000027179718,0.8740000128746033,,0.8460000157356262,0.8100000619888306,0.8640000224113464,0.8850000500679016,0.862000048160553,0.859000027179718,,,0.8500000238418579
11,0.9610389471054077,0.9110888838768005,,0.8281717896461487,0.8061937689781189,0.8171827793121338,0.8801198601722717,0.8421578407287598,0.7712287306785583,,,0.8411588072776794
12,0.9550000429153442,0.8630000352859497,,0.8640000224113464,0.8640000224113464,0.8740000128746033,0.8970000147819519,0.8910000324249268,0.7940000295639038,,,0.862000048160553
13,0.9810000658035278,0.8990000486373901,,0.8920000195503235,0.8580000400543213,0.8760000467300415,0.8940000534057617,0.8550000190734863,0.8760000467300415,,,0.8790000677108765
14,0.9570000171661377,0.8960000276565552,,0.8680000305175781,0.6110000014305115,0.7670000195503235,0.843000054359436,0.8690000176429749,0.6030000448226929,,,0.8720000386238098
15,0.9800199270248413,0.8801198601722717,,0.8491508364677429,0.5984016060829163,0.48351648449897766,0.9120878577232361,0.8931068778038025,0.7672327756881714,,,0.8511488437652588
16,0.9940000176429749,0.8550000190734863,,0.8260000348091125,0.8250000476837158,0.7550000548362732,0.8360000252723694,0.8100000619888306,0.7670000195503235,,,0.8090000152587891
