,0
0,0.28439998626708984
1,0.8098999857902527
2,0.7781000137329102
3,0.7642999887466431
4,0.7150999903678894
5,0.8403000235557556
6,0.6656000018119812
7,0.6891000270843506
8,0.7961000204086304
9,0.597599983215332
10,0.8184000253677368
11,0.5976999998092651
12,0.8052999973297119
13,0.8450999855995178
14,0.5446000099182129
15,0.6370000243186951
16,0.775600016117096
17,0.7098000049591064
18,0.8511999845504761
19,0.7537000179290771
20,0.887499988079071
21,0.7458000183105469
22,0.7153000235557556
23,0.37880000472068787
24,0.8338000178337097
25,0.5978000164031982
26,0.7074999809265137
27,0.869700014591217
28,0.31189998984336853
29,0.7574999928474426
30,0.858299970626831
31,0.7669000029563904
32,0.73089998960495
33,0.7791000008583069
34,0.5666000247001648
35,0.5331000089645386
36,0.8360000252723694
37,0.7617999911308289
38,0.7006000280380249
39,0.7009999752044678
40,0.7541999816894531
41,0.842199981212616
42,0.8564000129699707
43,0.7809000015258789
44,0.7299000024795532
45,0.6571999788284302
46,0.7411999702453613
47,0.8327000141143799
48,0.5228999853134155
49,0.6674000024795532
50,0.8342999815940857
51,0.7576000094413757
52,0.5253999829292297
53,0.7188000082969666
54,0.7069000005722046
55,0.7989000082015991
56,0.8185999989509583
57,0.6797000169754028
58,0.8180999755859375
59,0.7067000269889832
60,0.6671000123023987
61,0.8169000148773193
62,0.8574000000953674
63,0.8015999794006348
64,0.7160000205039978
65,0.736299991607666
66,0.8223999738693237
67,0.7634999752044678
68,0.7821000218391418
69,0.7749999761581421
70,0.8790000081062317
71,0.8137000203132629
72,0.24560000002384186
73,0.576200008392334
74,0.7682999968528748
75,0.7088000178337097
76,0.7623000144958496
77,0.6190000176429749
78,0.679099977016449
79,0.6450999975204468
80,0.819100022315979
81,0.625
82,0.7311999797821045
83,0.7610999941825867
84,0.6010000109672546
85,0.6690999865531921
86,0.6545000076293945
87,0.6039999723434448
88,0.7771000266075134
89,0.5393999814987183
90,0.6186000108718872
91,0.8134999871253967
92,0.7038000226020813
93,0.5562000274658203
94,0.6622999906539917
95,0.5131000280380249
96,0.809499979019165
97,0.8411999940872192
98,0.794700026512146
99,0.8450999855995178
