s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9860000610351562,0.8580000400543213,,0.7550000548362732,0.7170000076293945,0.6760000586509705,0.8270000219345093,0.7660000324249268,0.7639999985694885,0.76500004529953
1,0.9980019927024841,0.8021977543830872,,0.7122876644134521,0.7442557215690613,0.7062937021255493,0.7962037920951843,0.6443556547164917,0.7092906832695007,0.7502497434616089
2,0.9870129823684692,0.829170823097229,,0.7742257714271545,0.7502497434616089,0.7672327756881714,0.8271728157997131,0.7782217860221863,0.7812187671661377,0.7342656850814819
3,0.9860000610351562,0.8140000104904175,,0.8300000429153442,0.7920000553131104,0.7400000095367432,0.8800000548362732,0.7490000128746033,0.7910000085830688,0.7850000262260437
4,0.9790000319480896,0.8170000314712524,,0.7090000510215759,0.6430000066757202,0.6850000619888306,0.8810000419616699,0.7080000042915344,0.7480000257492065,0.706000030040741
5,0.9980000257492065,0.8830000162124634,,0.8100000619888306,0.718000054359436,0.8090000152587891,0.8750000596046448,0.7760000228881836,0.8050000071525574,0.8010000586509705
6,0.9940000176429749,0.7890000343322754,,0.7430000305175781,0.781000018119812,0.7550000548362732,0.76500004529953,0.7730000615119934,0.7319999933242798,0.7410000562667847
7,0.9720000624656677,0.8290000557899475,,0.8040000200271606,0.7390000224113464,0.6950000524520874,0.7790000438690186,0.7520000338554382,0.7860000133514404,0.6550000309944153
8,0.9600000381469727,0.7950000166893005,,0.675000011920929,0.6800000071525574,0.6620000600814819,0.7240000367164612,0.6990000605583191,0.6579999923706055,0.6630000472068787
9,0.9700000286102295,0.7860000133514404,,0.7830000519752502,0.7680000066757202,0.8230000138282776,0.76500004529953,0.8190000653266907,0.7960000038146973,0.7780000567436218
10,0.9980019927024841,0.8401598334312439,,0.7472527027130127,0.7182816863059998,0.7852147817611694,0.7932067513465881,0.7682317495346069,0.7762237787246704,0.786213755607605
11,0.9950000643730164,0.8290000557899475,,0.8100000619888306,0.6990000605583191,0.8660000562667847,0.8160000443458557,0.8300000429153442,0.8349999785423279,0.8060000538825989
12,0.9450549483299255,0.8561438322067261,,0.748251736164093,0.7742257714271545,0.795204758644104,0.8301697969436646,0.7502497434616089,0.7552447319030762,0.7442557215690613
13,0.9340000152587891,0.7720000147819519,,0.7220000624656677,0.737000048160553,0.7750000357627869,0.7720000147819519,0.7130000591278076,0.75,0.7150000333786011
