s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9919999837875366,0.7910000085830688,,0.6220000386238098,0.7149999737739563,0.8029999732971191,0.746999979019165,0.699999988079071,0.7870000004768372,,,0.800000011920929
1,0.9829999804496765,0.8019999861717224,,0.64000004529953,0.7770000100135803,0.7900000214576721,0.8069999814033508,0.8009999990463257,0.8050000071525574,,,0.7590000033378601
2,0.9919999837875366,0.7260000109672546,,0.5430000424385071,0.6990000009536743,0.8360000252723694,0.8299999833106995,0.8289999961853027,0.6700000166893005,,,0.8600000143051147
3,0.9879999756813049,0.8140000104904175,,0.6140000224113464,0.7649999856948853,0.7559999823570251,0.8410000205039978,0.7850000262260437,0.828000009059906,,,0.8270000219345093
4,0.953000009059906,0.843999981880188,,0.5760000348091125,0.7549999952316284,0.7360000014305115,0.7760000228881836,0.7590000033378601,0.765999972820282,,,0.6990000009536743
5,0.9940000176429749,0.777999997138977,,0.5680000185966492,0.7609999775886536,0.6579999923706055,0.8080000281333923,0.7039999961853027,0.7900000214576721,,,0.734000027179718
6,0.9789999723434448,0.8169999718666077,,0.6270000338554382,0.7870000004768372,0.8450000286102295,0.8629999756813049,0.8009999990463257,0.9120000004768372,,,0.7850000262260437
7,0.9869999885559082,0.7929999828338623,,0.5700000524520874,0.8090000152587891,0.8240000009536743,0.8500000238418579,0.8090000152587891,0.8309999704360962,,,0.800000011920929
8,0.9739999771118164,0.7390000224113464,,0.5380000472068787,0.609000027179718,0.7089999914169312,0.7329999804496765,0.7789999842643738,0.7689999938011169,,,0.781000018119812
9,0.9869999885559082,0.7429999709129333,,0.5710000395774841,0.7099999785423279,0.7599999904632568,0.8220000267028809,0.7080000042915344,0.7070000171661377,,,0.7229999899864197
10,0.9879999756813049,0.8730000257492065,,0.5879999995231628,0.7229999899864197,0.8610000014305115,0.7170000076293945,0.8080000281333923,0.8040000200271606,,,0.7730000019073486
11,0.968999981880188,0.8029999732971191,,0.5570000410079956,0.7720000147819519,0.765999972820282,0.7580000162124634,0.7170000076293945,0.781000018119812,,,0.7799999713897705
12,0.9890000224113464,0.8220000267028809,,0.5740000009536743,0.7559999823570251,0.8100000023841858,0.7620000243186951,0.7630000114440918,0.7820000052452087,,,0.7459999918937683
13,0.9800000190734863,0.796999990940094,,0.5850000381469727,0.7269999980926514,0.7850000262260437,0.7860000133514404,0.7850000262260437,0.7770000100135803,,,0.8119999766349792
14,0.9819999933242798,0.8889999985694885,,0.5870000123977661,0.8489999771118164,0.8619999885559082,0.8939999938011169,0.828000009059906,0.8759999871253967,,,0.8450000286102295
15,0.9940000176429749,0.8939999938011169,,0.6330000162124634,0.7599999904632568,0.8159999847412109,0.824999988079071,0.796999990940094,0.8349999785423279,,,0.8309999704360962
16,0.9919999837875366,0.8360000252723694,,0.5850000381469727,0.7699999809265137,0.7580000162124634,0.777999997138977,0.7620000243186951,0.7409999966621399,,,0.7559999823570251
17,0.9810000061988831,0.7710000276565552,,0.5649999976158142,0.7149999737739563,0.5920000076293945,0.7739999890327454,0.7570000290870667,0.7739999890327454,,,0.7929999828338623
18,0.9919999837875366,0.6430000066757202,,0.5960000157356262,0.6079999804496765,0.7929999828338623,0.781000018119812,0.753000020980835,0.7639999985694885,,,0.7919999957084656
19,0.9909999966621399,0.777999997138977,,0.5460000038146973,0.8370000123977661,0.8550000190734863,0.8399999737739563,0.8809999823570251,0.8230000138282776,,,0.8199999928474426
20,0.9890000224113464,0.8330000042915344,,0.5890000462532043,0.7440000176429749,0.7710000276565552,0.8140000104904175,0.8090000152587891,0.7799999713897705,,,0.7960000038146973
21,0.9729999899864197,0.7820000052452087,,0.6180000305175781,0.7279999852180481,0.7440000176429749,0.8019999861717224,0.7429999709129333,0.6269999742507935,,,0.7419999837875366
22,0.9869999885559082,0.6779999732971191,,0.5990000367164612,0.6769999861717224,0.7229999899864197,0.75,0.7870000004768372,0.7820000052452087,,,0.7590000033378601
23,0.9869999885559082,0.7990000247955322,,0.5840000510215759,0.7710000276565552,0.847000002861023,0.8669999837875366,0.8560000061988831,0.8539999723434448,,,0.8460000157356262
24,0.9879999756813049,0.8600000143051147,,0.6050000190734863,0.7120000123977661,0.6840000152587891,0.7490000128746033,0.7310000061988831,0.7170000076293945,,,0.734000027179718
25,0.8560000061988831,0.8349999785423279,,0.6480000019073486,0.6830000281333923,0.7360000014305115,0.6769999861717224,0.7879999876022339,0.753000020980835,,,0.734000027179718
26,0.9850000143051147,0.7789999842643738,,0.5160000324249268,0.6840000152587891,0.6579999923706055,0.765999972820282,0.6470000147819519,0.7319999933242798,,,0.6470000147819519
27,0.9599999785423279,0.7950000166893005,,0.4780000150203705,0.6890000104904175,0.7919999957084656,0.6809999942779541,0.6980000138282776,0.6880000233650208,,,0.6779999732971191
