s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9900000691413879,0.8110000491142273,,0.7350000143051147,0.6370000243186951,0.6510000228881836,0.7410000562667847,0.6440000534057617,0.6710000038146973,0.6710000038146973
1,0.9820179343223572,0.8271728157997131,,0.6623376607894897,0.6363636255264282,0.6433566212654114,0.8441558480262756,0.6743256449699402,0.7082917094230652,0.6913086771965027
2,0.987000048160553,0.8270000219345093,,0.8290000557899475,0.8200000524520874,0.6910000443458557,0.8600000143051147,0.7680000066757202,0.7850000262260437,0.7640000581741333
3,0.9660000205039978,0.8760000467300415,,0.7890000343322754,0.7240000367164612,0.7550000548362732,0.8820000290870667,0.8060000538825989,0.8240000009536743,0.7670000195503235
4,0.9450000524520874,0.8360000252723694,,0.6850000619888306,0.5870000123977661,0.6240000128746033,0.7540000081062317,0.6680000424385071,0.6899999976158142,0.6830000281333923
5,0.987000048160553,0.8230000138282776,,0.7300000190734863,0.7330000400543213,0.7020000219345093,0.8110000491142273,0.781000018119812,0.7089999914169312,0.7350000143051147
6,0.9830000400543213,0.7480000257492065,,0.6320000290870667,0.6570000052452087,0.6260000467300415,0.6480000019073486,0.6320000290870667,0.6650000214576721,0.6330000162124634
7,0.987000048160553,0.8690000176429749,,0.7140000462532043,0.6950000524520874,0.6960000395774841,0.7260000109672546,0.6840000152587891,0.7059999704360962,0.6970000267028809
8,0.987000048160553,0.8240000605583191,,0.753000020980835,0.7620000243186951,0.6850000619888306,0.7610000371932983,0.7040000557899475,0.6840000152587891,0.7150000333786011
9,0.9640000462532043,0.8290000557899475,,0.6440000534057617,0.7660000324249268,0.6470000147819519,0.7600000500679016,0.6260000467300415,0.6359999775886536,0.7160000205039978
10,0.9910089373588562,0.8441558480262756,,0.6833166480064392,0.6863136887550354,0.6653346419334412,0.757242739200592,0.7022976875305176,0.6443556547164917,0.6913086771965027
11,0.9920000433921814,0.815000057220459,,0.6580000519752502,0.8070000410079956,0.7400000095367432,0.8090000152587891,0.7760000228881836,0.7559999823570251,0.6780000329017639
12,0.9780000448226929,0.8550000190734863,,0.7300000190734863,0.718000054359436,0.7270000576972961,0.7450000643730164,0.6800000071525574,0.6980000138282776,0.7170000076293945
13,0.9890000224113464,0.7760000228881836,,0.7710000276565552,0.7520000338554382,0.7440000176429749,0.8490000367164612,0.7480000257492065,0.7450000047683716,0.7520000338554382
14,0.9950000643730164,0.815000057220459,,0.7630000114440918,0.7380000352859497,0.7910000085830688,0.7270000576972961,0.7580000162124634,0.7300000190734863,0.7260000109672546
15,0.9890109896659851,0.7752247452735901,,0.6883116960525513,0.6923076510429382,0.6643356680870056,0.8401598334312439,0.6743256449699402,0.7312687039375305,0.6983016729354858
16,0.9630000591278076,0.8820000290870667,,0.593000054359436,0.609000027179718,0.6690000295639038,0.6980000138282776,0.628000020980835,0.5839999914169312,0.6500000357627869
17,0.9820179343223572,0.8691308498382568,,0.667332649230957,0.6323676109313965,0.6173825860023499,0.7182816863059998,0.6683316230773926,0.6773226857185364,0.6463536024093628
18,0.984000027179718,0.7600000500679016,,0.6660000085830688,0.6620000600814819,0.6640000343322754,0.6860000491142273,0.6510000228881836,0.6179999709129333,0.675000011920929
19,0.9730000495910645,0.7980000376701355,,0.7350000143051147,0.6650000214576721,0.6880000233650208,0.8170000314712524,0.6960000395774841,0.5920000076293945,0.6580000519752502
20,0.9400599002838135,0.8011987805366516,,0.6363636255264282,0.6893106698989868,0.6883116960525513,0.7672327756881714,0.7642357349395752,0.6883116960525513,0.7442557215690613
21,0.9880119562149048,0.7812187671661377,,0.7902097702026367,0.7512487173080444,0.8461537957191467,0.8401598334312439,0.786213755607605,0.7882117629051208,0.7502497434616089
22,0.9910000562667847,0.8380000591278076,,0.7130000591278076,0.6710000038146973,0.6680000424385071,0.7730000615119934,0.6800000071525574,0.7459999918937683,0.7500000596046448
23,0.9490000605583191,0.7990000247955322,,0.7270000576972961,0.7910000085830688,0.6690000295639038,0.8350000381469727,0.76500004529953,0.7609999775886536,0.7570000290870667
24,0.9870129823684692,0.894105851650238,,0.7892107963562012,0.6723276376724243,0.6893106698989868,0.8141857981681824,0.7402597069740295,0.777222752571106,0.7692307233810425
25,0.9960000514984131,0.8190000653266907,,0.5950000286102295,0.718000054359436,0.6680000424385071,0.6850000619888306,0.6440000534057617,0.6510000228881836,0.6470000147819519
26,0.9760239720344543,0.7822177410125732,,0.6893106698989868,0.6953046917915344,0.6543456315994263,0.7602397203445435,0.6343656182289124,0.7072927355766296,0.649350643157959
27,0.9900000691413879,0.8300000429153442,,0.7410000562667847,0.7700000405311584,0.7450000643730164,0.8410000205039978,0.7510000467300415,0.7960000038146973,0.7500000596046448
28,0.9530469179153442,0.7922077775001526,,0.6973026990890503,0.6823176741600037,0.6653346419334412,0.786213755607605,0.7352647185325623,0.7532467246055603,0.7552447319030762
