s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9570000171661377,0.7360000014305115,0.9269999861717224,0.6859999895095825,0.7039999961853027,0.734000027179718,0.8510000109672546,0.7699999809265137,0.7319999933242798,,,0.722000002861023
1,0.9879999756813049,0.8199999928474426,0.8460000157356262,0.8410000205039978,0.699999988079071,0.777999997138977,0.890999972820282,0.7519999742507935,0.7419999837875366,,,0.7730000019073486
2,0.9570000171661377,0.8009999990463257,0.8019999861717224,0.8420000076293945,0.8009999990463257,0.8370000123977661,0.925000011920929,0.8820000290870667,0.8679999709129333,,,0.8619999885559082
3,0.9670000076293945,0.7630000114440918,0.8199999928474426,0.6890000104904175,0.6380000114440918,0.6890000104904175,0.8410000205039978,0.6740000247955322,0.625,,,0.6710000038146973
4,0.9729999899864197,0.777999997138977,0.847000002861023,0.6859999895095825,0.671999990940094,0.6610000133514404,0.7770000100135803,0.6359999775886536,0.6639999747276306,,,0.5720000267028809
5,0.9670000076293945,0.7210000157356262,0.8759999871253967,0.7350000143051147,0.7940000295639038,0.7749999761581421,0.7319999933242798,0.7139999866485596,0.746999979019165,,,0.7020000219345093
6,0.9679999947547913,0.8230000138282776,0.718999981880188,0.7829999923706055,0.7839999794960022,0.8169999718666077,0.8489999771118164,0.8579999804496765,0.7739999890327454,,,0.8460000157356262
7,0.9890000224113464,0.746999979019165,0.8970000147819519,0.8450000286102295,0.7390000224113464,0.7910000085830688,0.8479999899864197,0.7699999809265137,0.7170000076293945,,,0.7940000295639038
8,0.9629999995231628,0.6679999828338623,0.8299999833106995,0.722000002861023,0.6669999957084656,0.6499999761581421,0.6710000038146973,0.6650000214576721,0.6759999990463257,,,0.6589999794960022
9,0.9919999837875366,0.8899999856948853,0.9150000214576721,0.9020000100135803,0.7310000061988831,0.8330000042915344,0.8960000276565552,0.7799999713897705,0.824999988079071,,,0.6899999976158142
10,0.9900000095367432,0.7950000166893005,0.9139999747276306,0.8309999704360962,0.7400000095367432,0.8240000009536743,0.8460000157356262,0.8420000076293945,0.8669999837875366,,,0.7950000166893005
11,0.9440000057220459,0.7820000052452087,0.7630000114440918,0.7950000166893005,0.7179999947547913,0.7749999761581421,0.7480000257492065,0.75,0.8050000071525574,,,0.7590000033378601
12,0.9860000014305115,0.7350000143051147,0.8880000114440918,0.8330000042915344,0.7789999842643738,0.7839999794960022,0.8059999942779541,0.7929999828338623,0.7910000085830688,,,0.753000020980835
13,0.9890000224113464,0.6909999847412109,0.8939999938011169,0.843999981880188,0.7850000262260437,0.8289999961853027,0.8399999737739563,0.8240000009536743,0.8399999737739563,,,0.8230000138282776
14,0.9850000143051147,0.8970000147819519,0.8970000147819519,0.7789999842643738,0.7319999933242798,0.8740000128746033,0.9139999747276306,0.8830000162124634,0.8420000076293945,,,0.8790000081062317
15,0.9710000157356262,0.7039999961853027,0.8050000071525574,0.8550000190734863,0.8180000185966492,0.8299999833106995,0.8379999995231628,0.8240000009536743,0.8489999771118164,,,0.8190000057220459
16,0.9789999723434448,0.800000011920929,0.8730000257492065,0.699999988079071,0.7429999709129333,0.8809999823570251,0.828000009059906,0.906000018119812,0.8859999775886536,,,0.8999999761581421
17,0.9760000109672546,0.7670000195503235,0.9129999876022339,0.6380000114440918,0.6700000166893005,0.7080000042915344,0.7289999723434448,0.6859999895095825,0.6890000104904175,,,0.6990000009536743
18,0.9869999885559082,0.7839999794960022,0.8840000033378601,0.8429999947547913,0.7559999823570251,0.8040000200271606,0.7639999985694885,0.6690000295639038,0.6970000267028809,,,0.6010000109672546
19,0.9869999885559082,0.7429999709129333,0.902999997138977,0.7379999756813049,0.6639999747276306,0.7950000166893005,0.7730000019073486,0.7120000123977661,0.6959999799728394,,,0.6589999794960022
20,0.9850149750709534,0.7182817459106445,0.8791208863258362,0.872127890586853,0.7832167744636536,0.8251748085021973,0.8751248717308044,0.8221778273582458,0.7192807197570801,,,0.901098906993866
21,0.9959999918937683,0.8209999799728394,0.9049999713897705,0.9020000100135803,0.7889999747276306,0.8619999885559082,0.8379999995231628,0.8069999814033508,0.7889999747276306,,,0.8080000281333923
22,0.9660000205039978,0.8259999752044678,0.8619999885559082,0.7689999938011169,0.7200000286102295,0.8059999942779541,0.8220000267028809,0.7580000162124634,0.7390000224113464,,,0.7450000047683716
23,0.9909999966621399,0.8059999942779541,0.8600000143051147,0.8859999775886536,0.7940000295639038,0.8389999866485596,0.8679999709129333,0.859000027179718,0.8259999752044678,,,0.8740000128746033
24,0.9559999704360962,0.7350000143051147,0.7730000019073486,0.8190000057220459,0.6069999933242798,0.6679999828338623,0.5299999713897705,0.5630000233650208,0.5740000009536743,,,0.5659999847412109
25,0.9589999914169312,0.6740000247955322,0.8619999885559082,0.7799999713897705,0.6679999828338623,0.7149999737739563,0.8090000152587891,0.7570000290870667,0.7559999823570251,,,0.7490000128746033
26,0.972000002861023,0.7250000238418579,0.9259999990463257,0.9110000133514404,0.7039999961853027,0.878000020980835,0.8899999856948853,0.7450000047683716,0.7639999985694885,,,0.8209999799728394
27,0.9750000238418579,0.8289999961853027,0.9290000200271606,0.8349999785423279,0.7889999747276306,0.7519999742507935,0.7689999938011169,0.7620000243186951,0.7580000162124634,,,0.8080000281333923
28,0.9750000238418579,0.746999979019165,0.7760000228881836,0.8270000219345093,0.7419999837875366,0.6919999718666077,0.8169999718666077,0.6660000085830688,0.7409999966621399,,,0.6790000200271606
29,0.9879999756813049,0.8659999966621399,0.925000011920929,0.9449999928474426,0.7609999775886536,0.9049999713897705,0.8759999871253967,0.9079999923706055,0.8119999766349792,,,0.9110000133514404
30,0.9900000095367432,0.6489999890327454,0.8510000109672546,0.8740000128746033,0.7549999952316284,0.7390000224113464,0.878000020980835,0.8389999866485596,0.7950000166893005,,,0.8550000190734863
