,0
0,0.8025999665260315
1,0.8547999858856201
2,0.852400004863739
3,0.8035999536514282
4,0.8247999548912048
5,0.7955999970436096
6,0.8765999674797058
7,0.8459999561309814
8,0.8258000016212463
9,0.8319999575614929
10,0.8333999514579773
11,0.8452000021934509
12,0.8219999670982361
13,0.8222000002861023
14,0.8459999561309814
15,0.7491999864578247
16,0.8059999942779541
17,0.8485999703407288
18,0.8715999722480774
19,0.7865999937057495
20,0.8047999739646912
21,0.8503999710083008
22,0.7143999934196472
23,0.826200008392334
24,0.8095999956130981
25,0.8181999921798706
26,0.8429999947547913
27,0.8411999940872192
28,0.8485999703407288
29,0.8449999690055847
30,0.8065999746322632
31,0.8125999569892883
32,0.8215999603271484
33,0.8263999819755554
34,0.8889999985694885
35,0.8190000057220459
36,0.8477999567985535
37,0.7784000039100647
38,0.8068000078201294
39,0.7357999682426453
40,0.8021999597549438
41,0.8097999691963196
42,0.8628000020980835
43,0.8497999906539917
44,0.8369999527931213
45,0.8301999568939209
46,0.8597999811172485
47,0.875
48,0.8263999819755554
49,0.7821999788284302
50,0.8301999568939209
51,0.824400007724762
52,0.8032000064849854
53,0.8017999529838562
54,0.8301999568939209
55,0.847599983215332
56,0.8763999938964844
57,0.8685999512672424
58,0.7881999611854553
59,0.8367999792098999
60,0.7911999821662903
61,0.8299999833106995
62,0.8445999622344971
63,0.7019999623298645
64,0.8453999757766724
65,0.8172000050544739
66,0.8405999541282654
67,0.868399977684021
68,0.8245999813079834
69,0.8259999752044678
70,0.8205999732017517
71,0.8172000050544739
72,0.8465999960899353
73,0.8425999879837036
74,0.729200005531311
75,0.8330000042915344
76,0.887999951839447
77,0.7861999869346619
78,0.8301999568939209
79,0.8416000008583069
80,0.7971999645233154
81,0.7260000109672546
82,0.7960000038146973
83,0.8077999949455261
84,0.850600004196167
85,0.8479999899864197
86,0.8479999899864197
87,0.7877999544143677
88,0.8041999936103821
89,0.8331999778747559
90,0.8611999750137329
91,0.8229999542236328
92,0.826200008392334
93,0.8525999784469604
94,0.7897999882698059
95,0.8349999785423279
96,0.8575999736785889
97,0.8211999535560608
98,0.8105999827384949
99,0.8369999527931213
